symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
TOMO,Viction,8,0,32,OK,3.2,3.2,OK,['ETH'],
TON,Toncoin,8,0,100,OK,0.05,0.05,OK,['TON'],
TOSHI,Toshi,8,0,64,OK,28,28,OK,['BASE'],
TRAC,OriginTrail,8,0,32,OK,2.1,2.1,OK,['ETH'],
TRB,Tellor,8,0,32,OK,0.026,0.026,OK,['ETH'],
TRU,TrueFi,8,0,32,OK,20,20,OK,['ETH'],
TRUMP,OFFICIAL TRUMP,8,0,100,OK,0.0056,0.0056,OK,['SOL'],
TRX,Tron,6,0,20,OK,0,0,OK,['TRX'],
TURBO,Turbo,8,0,32,OK,300,300,OK,['ETH'],
TWT,Trust Wallet Token,8,0,35,OK,0.098,0.098,OK,['BSC'],
UMA,UMA,8,0,32,OK,0.6,0.6,OK,['ETH'],
UNI,Uniswap,8,0,32,OK,0.11,0.11,OK,['ETH'],
USDC,USD Coin,6,0,32,OK,0.81,0.81,OK,['ETH'],
USDT,Tether,6,0,32,DELISTED,0.96,0.96,DELISTED,['ETH'],
UTK,xMoney,8,0,32,OK,19,19,OK,['ETH'],
UXLINK,UXLINK,8,0,64,OK,0.42,0.42,OK,['ARB'],
VANA,Vana,8,0,32,MAINTENANCE,1,1,MAINTENANCE,['ETH'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
VANRY,Vanar Chain,8,0,32,OK,24,24,OK,['ETH'],
VELO,Velo,8,0,32,OK,6.6,6.6,OK,['BSC'],
VET,VeChain Thor,8,0,20,OK,0.019,0.019,OK,['VET'],
VIRTUAL,Virtuals Protocol,8,0,64,OK,0.013,0.013,OK,['BASE'],
VRA,Verasity,8,0,32,OK,430,430,OK,['ETH'],
VTHO,VeThor Token,8,0,20,OK,0.2,0.2,OK,['VET'],
W,Wormhole,6,0,100,OK,0.66,0.66,OK,['SOL'],
WAXP,WAX,8,0,32,OK,30,30,OK,['ETH'],
WBTC,Wrapped Bitcoin,8,0,32,MAINTENANCE,0.0000089,0.0000089,OK,['ETH'],
WELL,Moonwell,8,0,64,OK,0.44,0.44,OK,['BASE'],
WIF,dogwifhat,6,0,100,OK,0.13,0.13,OK,['SOL'],
WIN,WINkLink,6,0,35,OK,1700,1700,OK,['BSC'],
WLD,Worldcoin,8,0,32,OK,0.82,0.82,OK,['ETH'],
WOO,WOO,8,0,32,OK,7.9,7.9,OK,['ETH'],
XAI,Xai,3,0,64,OK,2.9,2.9,OK,['ARB'],
XDC,XDC Network,8,0,64,OK,0.01,0.01,OK,['XDC'],
